product_id,product_name,product_category,price,discount_percent,discounted_price,rating,quantity_sold,review_count,customer_region,payment_method,image_url,description,in_stock,delivery_days
P0001,iPhone 15 Pro Max,Electronics,59308.32,50,29654.16,4.7,5744,467,East,COD,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 50% discount. iPhone 15 Pro Max - High quality product with 4.7 star rating.,True,4
P0002,Samsung Galaxy S24 Ultra,Electronics,25715.69,10,23144.12,3.5,779,2392,West,PayPal,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 10% discount. Samsung Galaxy S24 Ultra - High quality product with 3.5 star rating.,True,5
P0003,MacBook Pro M3,Electronics,94534.82,45,51994.15,4.3,8676,1083,South,Debit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 45% discount. MacBook Pro M3 - High quality product with 4.3 star rating.,False,6
P0004,Sony WH-1000XM5 Headphones,Electronics,18137.93,10,16324.14,4.1,1277,1529,East,UPI,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 10% discount. Sony WH-1000XM5 Headphones - High quality product with 4.1 star rating.,True,5
P0005,Dell XPS 15 Laptop,Electronics,70322.39,5,66806.27,4.9,8443,2042,North,PayPal,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 5% discount. Dell XPS 15 Laptop - High quality product with 4.9 star rating.,True,4
P0006,iPad Pro 12.9,Electronics,39948.69,30,27964.08,4.4,785,4015,East,Credit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 30% discount. iPad Pro 12.9 - High quality product with 4.4 star rating.,True,4
P0007,Google Pixel 8 Pro,Electronics,50198.11,25,37648.58,3.8,3853,1501,South,PayPal,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 25% discount. Google Pixel 8 Pro - High quality product with 3.8 star rating.,True,2
P0008,Apple Watch Series 9,Electronics,134749.97,35,87587.48,4.4,9477,1017,Central,UPI,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 35% discount. Apple Watch Series 9 - High quality product with 4.4 star rating.,True,5
P0009,AirPods Pro 2,Electronics,90078.92,40,54047.35,3.9,8581,493,North,UPI,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 40% discount. AirPods Pro 2 - High quality product with 3.9 star rating.,True,1
P0010,Xiaomi 14 Ultra,Electronics,7267.28,40,4360.37,4.7,2037,2696,East,COD,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 40% discount. Xiaomi 14 Ultra - High quality product with 4.7 star rating.,True,3
P0011,OnePlus 12,Electronics,119575.45,50,59787.73,3.6,6194,3100,North,Debit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 50% discount. OnePlus 12 - High quality product with 3.6 star rating.,True,6
P0012,Realme GT 5G,Electronics,52151.58,10,46936.42,4.4,8164,1571,North,COD,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 10% discount. Realme GT 5G - High quality product with 4.4 star rating.,True,6
P0013,Lenovo ThinkPad,Electronics,128092.5,20,102474.0,4.3,6920,4494,East,Credit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 20% discount. Lenovo ThinkPad - High quality product with 4.3 star rating.,True,2
P0014,HP Spectre x360,Electronics,8685.77,10,7817.2,3.5,2800,564,Central,Debit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 10% discount. HP Spectre x360 - High quality product with 3.5 star rating.,True,5
P0015,Asus ROG Strix,Electronics,83276.96,15,70785.41,4.9,9924,3315,West,PayPal,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 15% discount. Asus ROG Strix - High quality product with 4.9 star rating.,True,6
P0016,Acer Predator Helios,Electronics,96843.54,25,72632.66,4.2,3637,1364,East,PayPal,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 25% discount. Acer Predator Helios - High quality product with 4.2 star rating.,True,1
P0017,Bose QuietComfort,Electronics,51110.5,0,51110.5,3.9,1316,4030,North,Debit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 0% discount. Bose QuietComfort - High quality product with 3.9 star rating.,True,3
P0018,JBL Charge 5,Electronics,6008.06,35,3905.24,4.3,4423,3749,North,COD,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 35% discount. JBL Charge 5 - High quality product with 4.3 star rating.,True,3
P0019,Canon EOS R5,Electronics,51864.43,35,33711.88,4.6,5242,1854,North,PayPal,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 35% discount. Canon EOS R5 - High quality product with 4.6 star rating.,False,6
P0020,Nikon Z8,Electronics,105964.12,10,95367.71,4.0,3706,3000,North,COD,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 10% discount. Nikon Z8 - High quality product with 4.0 star rating.,True,2
P0021,GoPro Hero 12,Electronics,64600.37,30,45220.26,3.9,7402,3475,South,UPI,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 30% discount. GoPro Hero 12 - High quality product with 3.9 star rating.,True,6
P0022,Fitbit Charge 6,Electronics,40098.01,15,34083.31,3.6,4228,4497,Central,Debit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 15% discount. Fitbit Charge 6 - High quality product with 3.6 star rating.,False,6
P0023,LG C3 OLED TV,Electronics,82687.33,0,82687.33,3.7,4292,3398,Central,COD,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 0% discount. LG C3 OLED TV - High quality product with 3.7 star rating.,True,3
P0024,Sony A95L TV,Electronics,36934.95,45,20314.22,4.3,8348,3220,West,Credit Card,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 45% discount. Sony A95L TV - High quality product with 4.3 star rating.,True,2
P0025,PlayStation 5,Electronics,126467.97,50,63233.98,4.0,6626,4062,South,COD,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 50% discount. PlayStation 5 - High quality product with 4.0 star rating.,True,2
P0026,Xbox Series X,Electronics,147414.41,15,125302.25,4.3,2059,3724,Central,UPI,https://dummyimage.com/300x300/4A90E2/ffffff?text=Ele,Best Electronics product with 15% discount. Xbox Series X - High quality product with 4.3 star rating.,True,1
P0027,Nike Air Max 90,Clothing,4543.63,10,4089.27,4.6,1164,4500,North,Debit Card,https://dummyimage.com/300x300/E74C3C/ffffff?text=Clo,Best Clothing product with 10% discount. Nike Air Max 90 - High quality product with 4.6 star rating.,True,4
P0028,Adidas Ultraboost 22,Clothing,13529.04,15,11499.68,4.4,2567,99,North,UPI,https://dummyimage.com/300x300/E74C3C/ffffff?text=Clo,Best Clothing product with 15% discount. Adidas Ultraboost 22 - High quality product with 4.4 star rating.,True,6
